순위,상품명,브랜드,조회수,좋아요,구매후기 개수,평점,누적판매량
0.9575461213603023,척 70 플러스  블랙 A00916C,컨버스,9200.0,5266,305,4.9,800.0
0.9573238497443877,버킷 디워커 V2 (O/WHITE),디스커버리 익스페디션,5100.0,16107,2812,4.8,1300.0
0.957101578128473,푸마 스카이 클린 - 화이트:그레이 / 380147-14,푸마,12000.0,1625,78,4.8,500.0
0.9568793065125584,센테니얼 85 로우 - 화이트:레드 / HQ6278,아디다스,12000.0,2174,65,4.8,200.0
0.9566570348966437,런스타 레거시 CX 퓨처 컴포트 블랙 A00869C,컨버스,4100.0,1904,134,4.9,1000.0
0.9564347632807291,테버리스 나이트로 - 블랙:다크 그레이 / 388774-03,푸마,8700.0,597,186,4.7,500.0
0.9562124916648144,뮬리V2 (BLACK),디스커버리 익스페디션,5500.0,1024,42,4.9,200.0
0.9559902200488998,MAXIMIZER 23_K1GA210007,미즈노,9000.0,1476,254,4.9,600.0
0.9557679484329851,XT-6 GTX 유틸리티 - 마멀레이드:블랙:네이비 / L41750100,살로몬 스포츠스타일,8300.0,627,42,4.9,100.0
0.9555456768170705,베이더론 KR - 화이트:블랙:검 / 387532-03,푸마,9400.0,6164,1071,4.8,2500.0
0.9553234052011558,캠퍼스 80s - 오프화이트 / HQ7067,아디다스,18000.0,3972,72,4.8,300.0
0.9551011335852412,단테 - 블랙 / 16736001,닥터마틴,5300.0,7664,2084,4.8,1300.0
0.9548788619693265,어센틱 - 블랙:블랙 / VN000EE3BKA1,반스,6000.0,12800,4441,4.9,3000.0
0.9546565903534119,조그 100 S (2E) - 화이트:퓨어 실버 / 1201A325-100,아식스,9000.0,1688,544,4.9,1000.0
0.9544343187374972,가젤 - 브라운 / H06395,아디다스,18000.0,1978,92,4.9,200.0
0.9542120471215826,레더 코트 스니커즈 Mark 2 [화이트],무신사 스탠다드,7300.0,563,76,4.9,300.0
0.9539897755056679,클럽 C 85 빈티지 - 네이비 / GX3683,리복,12000.0,2182,112,4.9,400.0
0.9537675038897533,젤-1090 - 화이트:씨티러스 / 1201A673-100,아식스,25000.0,512,50,5.0,100.0
0.9535452322738386,남여공용 화이트 말모 스니커즈 YM00681 YBR / YW00823 YBR,캘빈클라인 진,12000.0,2674,95,4.8,400.0
0.953322960657924,아바카 - 네이비:화이트 / H04976,아디다스,11000.0,1456,110,4.9,400.0
0.9531006890420093,뮬리V2 (O/WHITE),디스커버리 익스페디션,8000.0,1657,42,4.9,200.0
0.9528784174260947,센트리 올드스쿨 WC - (하이커 스웨이드) 마쉬멜로우:블랙 / VN0A5KR3KIG1,반스,12000.0,4221,310,4.8,900.0
0.95265614581018,아스티어 W - 화이트 / HP9039,아디다스,8800.0,1491,146,4.8,500.0
0.9524338741942654,[프리미엄] 에베레스트 5cm키높이 스니커즈,브랜즈,3900.0,4564,1831,4.8,1500.0
0.9522116025783507,시티 마라톤 PT - 크림 / HQ7073,아디다스,8200.0,2280,373,4.8,1200.0
0.9519893309624361,NBPDDS172G / WX452KO1 (GRAY),뉴발란스,7500.0,3286,152,4.8,100.0
0.9517670593465215,German Military Light pink,리프로덕션 오브 파운드,6300.0,2396,351,4.9,500.0
0.9515447877306068,V2 VEBE BLACK,23.65,5400.0,5380,382,4.8,1400.0
0.9513225161146922,슈퍼스타 82 - 화이트:블루/ GZ1537,아디다스,9800.0,3920,175,4.8,500.0
0.9511002444987775,시티 마라톤 PT - 블랙:화이트 / M19166,아디다스,8300.0,4249,1032,4.9,1800.0
0.9508779728828629,포럼 로우 - 그레이:화이트 / FZ6253,아디다스,10000.0,2419,70,4.9,200.0
0.9506557012669482,센테니얼 85 로우 - 그레이:화이트 / GX2215,아디다스,27000.0,8402,65,4.7,300.0
0.9504334296510336,ACHIEVE201 (BLACK),언다이드룸,4400.0,846,41,4.9,100.0
0.9502111580351189,스퍼브N_SUPERB N WHITE_JD13,제이다울,7200.0,26383,5468,4.8,2400.0
0.9499888864192043,척테일러 올스타 클래식 네이비 M9697C,컨버스,11000.0,12734,1872,4.9,3100.0
0.9497666148032896,척 70 빈티지 캔버스 미드나잇네이비 172676C,컨버스,9500.0,13979,675,4.9,700.0
0.949544343187375,척70 시즈널 컬러 서밋 세이지 A02756C,컨버스,8900.0,3921,96,4.9,300.0
0.9493220715714603,시티 마라톤 PT - 그레이:화이트 / GW6214,아디다스,10000.0,5637,1314,4.8,3800.0
0.9490997999555457,척테일러 올스타 무브 화이트 570257C,컨버스,7300.0,13675,1764,4.9,2700.0
0.948877528339631,스탠스미스 - 화이트 / FX5500,아디다스,4600.0,664,51,4.9,200.0
0.9486552567237164,VERYLIGHT BEAR BLACK,23.65,6800.0,4417,604,4.8,2300.0
