,순위,상품명,브랜드,조회수,좋아요 수,구매후기 수,평점,누적판매량
128,0.9715492331629251,여성 코인 페니 로퍼 - 블랙:화이트 / 5D773DAZEF0967,미우미우,2400.0,391,37,5.0,50.0
129,0.9713269615470105,[제멋X식스핏] 퍼펙토 첼시부츠 (키높이 버전),식스핏,3600.0,2576,583,4.8,1600.0
130,0.9711046899310958,투데이즈 더비 R21M046 (아이보리 스웨이드),로맨틱무브,4900.0,5003,1416,4.8,800.0
131,0.9708824183151812,C 로고 슬라이드 블랙,커버낫,5100.0,3808,1114,4.8,2900.0
132,0.9706601466992665,503 5.5CM 미니멀 스퀘어 더비,야세,4400.0,10630,3430,4.7,2600.0
133,0.9704378750833519,버킷 슬라이드 (BEIGE),디스커버리 익스페디션,5900.0,9208,1993,4.9,2700.0
134,0.9702156034674372,스퀘어 첼시 부츠 [블랙],무신사 스탠다드,2800.0,3084,487,4.8,1200.0
135,0.9699933318515226,Tera Musinsa Edition,마크모크,3500.0,6270,677,4.8,2100.0
136,0.9697710602356079,SECOND.A 코만도솔 4홀 라운드토 더비슈즈 2NDF 100GB,피렌체 아뜨리에,3400.0,4617,1631,4.7,1400.0
137,0.9695487886196933,아딜렛 클로그 - 화이트 / FY8970,아디다스,6000.0,7486,2619,4.8,4800.0
138,0.9693265170037786,HAYDEN BOOTS - 7color,락피쉬웨더웨어,7300.0,1497,0,0.0,100.0
139,0.969104245387864,남성용 소가죽 더비슈즈 HS-711_BLACK,하루타,1900.0,1171,426,4.8,300.0
140,0.9688819737719493,산토리니 샌들 레더 블랙 552,야세,3500.0,25041,10530,4.8,17000.0
141,0.9686597021560347,빅토리아 쿵푸 베일라리나 로나 (1080109-NEGRO),빅토리아 슈즈,3300.0,2104,280,4.9,600.0
142,0.96843743054012,C 로고 슬라이드 네이비,커버낫,6300.0,5014,967,4.8,2300.0
143,0.9682151589242054,1B60 벡스,닥터마틴,2700.0,4806,316,4.9,300.0
144,0.9679928873082907,1991 글랜데일 소가죽 베이직 홀스빗 로퍼 밴타블랙,마이애미프로젝트,3300.0,4011,888,4.8,1100.0
145,0.9677706156923761,프리미엄 6인치 부츠_TB0100617131-TR,팀버랜드,3300.0,730,42,4.8,100.0
