순위,상품명,브랜드명,url,조회수,좋아요,구매후기 개수,평점,누적판매량(1년)
89위,Comfort Shirt  01 (Silver  (Thin)),포터리,https://www.musinsa.com/app/goods/3043302?loc=goods_rank,1.5만 회 이상,641,후기 31개 보기,4.9,100개 이상
90위,LONELY/LOVELY FLUFF HOODIE OATMEAL,노앙,https://www.musinsa.com/app/goods/3080138?loc=goods_rank,4.1천 회 이상,281,후기 5개 보기,5,50개 이상
91위,[패키지] 올카 오버핏 스웨트셔츠 9종 2PACK KJMT2463,제멋,https://www.musinsa.com/app/goods/3039449?loc=goods_rank,4.5만 회 이상,"4,636",후기 368개 보기,4.9,3천 개 이상
92위,더블린 언발란스 캐시미어  블렌드 니트 클래식 차콜,세터,https://www.musinsa.com/app/goods/2718818?loc=goods_rank,1.3만 회 이상,"11,457","후기 1,248개 보기",4.9,3천 개 이상
93위,TSHIRT FLOWERMARDI_WHITE GREEN,마르디 메크르디,https://www.musinsa.com/app/goods/1503352?loc=goods_rank,2.6만 회 이상,"58,476","후기 8,245개 보기",4.9,3.3만 개 이상
94위,RESEARCH HOODIE [KHAKI],비바스튜디오,https://www.musinsa.com/app/goods/2329895?loc=goods_rank,4만 회 이상,"34,972","후기 1,955개 보기",4.8,7.5천 개 이상
95위,듀스 네로 반팔티 화이트,팔렛,https://www.musinsa.com/app/goods/2368712?loc=goods_rank,2.5만 회 이상,"58,299","후기 5,399개 보기",4.9,2.3만 개 이상
96위,우먼즈 베이식 크루 넥 반팔 티셔츠 [화이트],무신사 스탠다드,https://www.musinsa.com/app/goods/1417691?loc=goods_rank,4.4만 회 이상,"45,457","후기 18,011개 보기",4.9,4.5만 개 이상
97위,오버핏 그래피티 로고 후디-멜란지그레이,필루미네이트,https://www.musinsa.com/app/goods/2913656?loc=goods_rank,11.2만 회 이상,"24,335",후기 200개 보기,4.7,2.7천 개 이상
98위,시티보이 보트자수 옥스포드 오버핏 셔츠 (SKY BLUE),트릴리온,https://www.musinsa.com/app/goods/1951471?loc=goods_rank,1.9만 회 이상,"12,039","후기 1,317개 보기",4.8,3천 개 이상
99위,RL 플리스 로고 후디 - 네이비,폴로 랄프 로렌,https://www.musinsa.com/app/goods/2364787?loc=goods_rank,1.1천 회 이상,950,후기 26개 보기,4.9,50개 이상
100위,[SET] (맨투맨 OR 후드 선택) CGP 아치 로고 트레이닝 셋업_멜란지그레이,코드그라피,https://www.musinsa.com/app/goods/2043036?loc=goods_rank,8.6만 회 이상,"83,033","후기 7,353개 보기",4.8,1.8만 개 이상
101위,TD5-SH07 페이퍼셔츠-라벤더,토마스모어,https://www.musinsa.com/app/goods/2445771?loc=goods_rank,4.5천 회 이상,"3,156",후기 863개 보기,4.9,1.9천 개 이상
102위,2PACK : 하찌 엘보 볼륨 풀오버 7컬러,인템포무드,https://www.musinsa.com/app/goods/2853941?loc=goods_rank,1.3만 회 이상,"4,101",후기 647개 보기,4.9,1.6천 개 이상
103위,레이어드 크루 넥 반팔 티셔츠_긴 기장 [화이트],무신사 스탠다드,https://www.musinsa.com/app/goods/1382658?loc=goods_rank,7만 회 이상,"80,846","후기 46,867개 보기",4.7,7.8만 개 이상
104위,링클 프리 베이직 셔츠_SKY BLUE,시티브리즈,https://www.musinsa.com/app/goods/2362540?loc=goods_rank,9.7천 회 이상,"7,273",후기 605개 보기,4.9,1.5천 개 이상
105위,오버핏 그래피티 로고 후디-오트밀,필루미네이트,https://www.musinsa.com/app/goods/3026606?loc=goods_rank,6.8만 회 이상,"13,678",후기 107개 보기,4.8,1.7천 개 이상
